update,mean_coopval,count,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.5,1,0,0,0,0,1,0,0,0,0,0
1,0.5,1,0,0,0,0,1,0,0,0,0,0
2,0.5,1,0,0,0,0,1,0,0,0,0,0
3,0.5,1,0,0,0,0,1,0,0,0,0,0
4,0.5,1,0,0,0,0,1,0,0,0,0,0
5,0.5,1,0,0,0,0,1,0,0,0,0,0
6,0.5,1,0,0,0,0,1,0,0,0,0,0
7,0.5,1,0,0,0,0,1,0,0,0,0,0
8,0.5,1,0,0,0,0,1,0,0,0,0,0
9,0.5,1,0,0,0,0,1,0,0,0,0,0
10,0.500393,2,0,0,0,0,2,0,0,0,0,0
11,0.500393,2,0,0,0,0,2,0,0,0,0,0
12,0.500393,2,0,0,0,0,2,0,0,0,0,0
13,0.500393,2,0,0,0,0,2,0,0,0,0,0
14,0.500393,2,0,0,0,0,2,0,0,0,0,0
15,0.500393,2,0,0,0,0,2,0,0,0,0,0
16,0.500393,2,0,0,0,0,2,0,0,0,0,0
17,0.500393,2,0,0,0,0,2,0,0,0,0,0
18,0.500393,2,0,0,0,0,2,0,0,0,0,0
19,0.50106,3,0,0,0,0,3,0,0,0,0,0
20,0.501402,4,0,0,0,0,4,0,0,0,0,0
21,0.501402,4,0,0,0,0,4,0,0,0,0,0
22,0.501402,4,0,0,0,0,4,0,0,0,0,0
23,0.501402,4,0,0,0,0,4,0,0,0,0,0
24,0.501402,4,0,0,0,0,4,0,0,0,0,0
25,0.501402,4,0,0,0,0,4,0,0,0,0,0
26,0.501402,4,0,0,0,0,4,0,0,0,0,0
27,0.501402,4,0,0,0,0,4,0,0,0,0,0
28,0.501262,5,0,0,0,0,5,0,0,0,0,0
29,0.501411,6,0,0,0,0,6,0,0,0,0,0
30,0.501503,8,0,0,0,0,8,0,0,0,0,0
31,0.501503,8,0,0,0,0,8,0,0,0,0,0
32,0.501503,8,0,0,0,0,8,0,0,0,0,0
33,0.501503,8,0,0,0,0,8,0,0,0,0,0
34,0.501503,8,0,0,0,0,8,0,0,0,0,0
35,0.501503,8,0,0,0,0,8,0,0,0,0,0
36,0.501503,8,0,0,0,0,8,0,0,0,0,0
37,0.501503,8,0,0,0,0,8,0,0,0,0,0
38,0.501109,10,0,0,0,0,10,0,0,0,0,0
39,0.501416,13,0,0,0,0,13,0,0,0,0,0
40,0.50155,16,0,0,0,0,16,0,0,0,0,0
41,0.50155,16,0,0,0,0,16,0,0,0,0,0
42,0.50155,16,0,0,0,0,16,0,0,0,0,0
43,0.50155,16,0,0,0,0,16,0,0,0,0,0
44,0.50155,16,0,0,0,0,16,0,0,0,0,0
45,0.50155,16,0,0,0,0,16,0,0,0,0,0
46,0.50155,16,0,0,0,0,16,0,0,0,0,0
47,0.501638,17,0,0,0,0,17,0,0,0,0,0
48,0.500871,22,0,0,0,0,22,0,0,0,0,0
49,0.501027,26,0,0,0,0,26,0,0,0,0,0
50,0.50123,32,0,0,0,0,32,0,0,0,0,0
